IPID,TTL,SRCIP,DSTIP,SPORT,DPORT,TSEQ,WINDS
6851,47,2536746475,3390657356,51076,2323,1439555227,5808
6054,51,1953077476,3390658020,39767,2323,1340407690,14600
28329,46,3172770361,3390658187,60744,2323,1970794232,14600
52155,52,998158769,3390658417,55831,2323,1926590997,14520
53446,53,3083882713,3390658011,56752,2323,3209914355,5808
18885,49,1835816899,3390657940,34882,2323,876495931,14600
43864,50,1604552251,3390658191,57481,2323,301831116,14600
14721,53,1857365355,3390656619,47607,2323,218510686,5808
57920,52,458061674,3390656885,51627,2323,2263536334,14600
417,51,237295327,3390657288,59164,2323,3568772088,4380
33436,53,840622600,3390657836,4698,2323,693021315,5840
47815,51,1963163993,3390658050,58822,2323,1975066610,14600
59881,53,1907881829,3390657994,49570,2323,989743408,14600
45822,52,1934266666,3390656686,54157,2323,3268786334,14600
41693,49,245514517,3390657832,45437,2323,2983190043,14600
42099,51,832507498,3390656649,57023,2323,3838686870,14600
19035,50,245499614,3390657535,53227,2323,263688971,14600
33437,53,840622600,3390657836,4698,2323,693021315,5840
20436,50,2793568262,3390657368,36580,2323,242898167,14600
42094,47,1029320204,3390658499,48931,2323,1249747025,14600
23149,51,1963333041,3390657887,35371,2323,1567683788,14600
23826,48,3044572645,3390656719,60579,2323,1403746816,14600
43477,51,2499770426,3390658225,41784,2323,117326114,5840
49511,56,622329778,3390658158,53088,2323,1656078724,5808
38584,49,1976868497,3390658499,53053,2323,3198847049,5840
37520,52,245432361,3390657307,38349,2323,1528045022,14600
40884,49,3695562921,3390658258,58978,2323,4167035107,5840
806,48,3192612965,3390658146,49271,2323,4043133046,14600
43843,49,3695562921,3390658258,59215,2323,4168342570,5840
1589,51,2978991447,3390658523,46892,2323,1536604767,14600
5457,49,1549164182,3390657412,43146,2323,2551185714,14600
37425,53,2738212850,3390657750,46686,2323,497965345,4380
2007,52,1947871684,3390657723,47297,2323,3126308102,14600
24180,54,2058432255,3390657766,50518,2323,4249004735,5440
53353,43,1542077765,3390656848,34606,2323,3729505671,14600
19063,52,246409644,3390658454,51943,2323,3177923942,14600
56657,55,1009869258,3390656944,40540,2323,254307983,14600
10086,50,245514517,3390657832,45493,2323,455321131,14600
11973,49,3695562921,3390658258,40321,2323,4289680555,5840
51921,47,3220894619,3390657910,47412,2323,1680338202,14600
63948,49,2885121127,3390657370,59439,2323,2744965930,14600
21709,52,3699736811,3390656961,40291,2323,1861320357,14520
53033,52,2009389584,3390656653,3826,2323,1462420767,5840
44383,50,2973819298,3390658126,51773,2323,1322281031,14600
4976,52,712170578,3390657339,54613,2323,2157573442,4380
61278,48,1594245522,3390658553,60624,2323,2250872201,14600
3647,47,1373103270,3390657844,54883,2323,3117531947,14600
61813,52,3699712049,3390658345,37762,2323,921794180,14520
53770,52,1446619665,3390656799,49267,2323,2880782155,5808
36882,52,2884125752,3390657890,48043,2323,3869654788,14600
64747,53,1907881829,3390657994,49662,2323,2961331622,14600
33001,49,3142217627,3390656776,43717,2323,979694100,14600
9969,54,3151376320,3390658015,43079,2323,2425928280,14600
28372,52,1907116621,3390657496,33205,2323,3465236924,14600
58438,47,838383197,3390658121,36589,2323,2023410845,5808
1439,43,1492588317,3390657363,53159,2323,2795028666,14600
29548,53,460540874,3390657712,63554,2323,2375332572,5840
48029,53,609225989,3390657346,57045,2323,1673987125,5808
29712,51,3216097482,3390658423,48975,2323,3398755541,14600
36495,44,3248546335,3390656990,39757,2323,490915939,14600
63277,52,1907116621,3390657496,33210,2323,3402610451,14600
50995,51,1963333041,3390657887,35426,2323,1790410541,14600
17177,49,3695562921,3390658258,56602,2323,222444741,5840
32436,51,1975937267,3390658322,58593,2323,2408327846,14600
25669,49,2981175815,3390657777,33145,2323,3037499587,4380
60020,53,1906385634,3390657708,40121,2323,2205478477,14520
